Table,Representation,k,Expected results,Retrieval,Evalution,COS Similary,Num documents
author,column_header_value_triples,5,"Index([34, 35, 36, 37, 47], dtype='int64')","[34, 41, 47, 35, 46]","precision: 0.6
recall: 0.6","[[{'corpus_id': 34, 'score': 0.14961472153663635}, {'corpus_id': 41, 'score': 0.12014403939247131}, {'corpus_id': 47, 'score': 0.11335834860801697}, {'corpus_id': 35, 'score': 0.10548616945743561}, {'corpus_id': 46, 'score': 0.09907960891723633}]]",50
customer,column_header_value_triples,5,"Index([38, 39, 40, 41, 48], dtype='int64')","[41, 34, 22, 2, 47]","precision: 0.2
recall: 0.2","[[{'corpus_id': 41, 'score': 0.0936778262257576}, {'corpus_id': 34, 'score': 0.06390974670648575}, {'corpus_id': 22, 'score': 0.05620289966464043}, {'corpus_id': 2, 'score': 0.05514230951666832}, {'corpus_id': 47, 'score': 0.05286107212305069}]]",50
businesses,column_header_value_triples,5,"Index([42, 43, 44, 45, 49], dtype='int64')","[43, 44, 42, 22, 2]","precision: 0.6
recall: 0.6","[[{'corpus_id': 43, 'score': 0.06772522628307343}, {'corpus_id': 44, 'score': 0.0675315409898758}, {'corpus_id': 42, 'score': 0.05525165796279907}, {'corpus_id': 22, 'score': 0.05368102714419365}, {'corpus_id': 2, 'score': 0.0531451515853405}]]",50
drivers,schema_description,5,"Index([0, 1, 2, 3, 22], dtype='int64')","[2, 3, 22, 7, 1]","precision: 0.8
recall: 0.8","[[{'corpus_id': 2, 'score': 0.2292955368757248}, {'corpus_id': 3, 'score': 0.17576918005943298}, {'corpus_id': 22, 'score': 0.15460702776908875}, {'corpus_id': 7, 'score': 0.14630268514156342}, {'corpus_id': 1, 'score': 0.14474248886108398}]]",50
circuits,schema_description,5,"Index([4, 5, 6, 7, 8], dtype='int64')","[4, 6, 2, 7, 8]","precision: 0.8
recall: 0.8","[[{'corpus_id': 4, 'score': 0.14069439470767975}, {'corpus_id': 6, 'score': 0.13358981907367706}, {'corpus_id': 2, 'score': 0.12698853015899658}, {'corpus_id': 7, 'score': 0.11223992705345154}, {'corpus_id': 8, 'score': 0.11139577627182007}]]",50
constructors,schema_description,5,"Index([9, 10, 11, 12, 13], dtype='int64')","[9, 12, 11, 13, 10]","precision: 1.0
recall: 1.0","[[{'corpus_id': 9, 'score': 0.24018965661525726}, {'corpus_id': 12, 'score': 0.2273699939250946}, {'corpus_id': 11, 'score': 0.2208123654127121}, {'corpus_id': 13, 'score': 0.2027517557144165}, {'corpus_id': 10, 'score': 0.18557153642177582}]]",50
user_reviews,schema_description,5,"Index([14, 15, 16, 17, 18], dtype='int64')","[18, 14, 15, 45, 16]","precision: 0.8
recall: 0.8","[[{'corpus_id': 18, 'score': 0.15558069944381714}, {'corpus_id': 14, 'score': 0.13768240809440613}, {'corpus_id': 15, 'score': 0.10205841064453125}, {'corpus_id': 45, 'score': 0.09992777556180954}, {'corpus_id': 16, 'score': 0.0985325500369072}]]",50
customers,schema_description,5,"Index([19, 20, 21, 23, 24], dtype='int64')","[49, 34, 43, 45, 35]","precision: 0.0
recall: 0.0","[[{'corpus_id': 49, 'score': 0.07673647999763489}, {'corpus_id': 34, 'score': 0.07626911997795105}, {'corpus_id': 43, 'score': 0.07280003279447556}, {'corpus_id': 45, 'score': 0.07065173983573914}, {'corpus_id': 35, 'score': 0.06649956852197647}]]",50
rootbeerbrand,schema_description,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[28, 29, 26, 24, 25]","precision: 0.8
recall: 0.8","[[{'corpus_id': 28, 'score': 0.2946631908416748}, {'corpus_id': 29, 'score': 0.2541198432445526}, {'corpus_id': 26, 'score': 0.25360244512557983}, {'corpus_id': 24, 'score': 0.2077736109495163}, {'corpus_id': 25, 'score': 0.20217259228229523}]]",50
publisher,schema_description,5,"Index([30, 31, 32, 33, 46], dtype='int64')","[34, 47, 35, 41, 31]","precision: 0.2
recall: 0.2","[[{'corpus_id': 34, 'score': 0.19353872537612915}, {'corpus_id': 47, 'score': 0.15874578058719635}, {'corpus_id': 35, 'score': 0.15863385796546936}, {'corpus_id': 41, 'score': 0.13506074249744415}, {'corpus_id': 31, 'score': 0.12754811346530914}]]",50
author,schema_description,5,"Index([34, 35, 36, 37, 47], dtype='int64')","[34, 35, 47, 41, 46]","precision: 0.6
recall: 0.6","[[{'corpus_id': 34, 'score': 0.1608932614326477}, {'corpus_id': 35, 'score': 0.12467809021472931}, {'corpus_id': 47, 'score': 0.11392812430858612}, {'corpus_id': 41, 'score': 0.08401115983724594}, {'corpus_id': 46, 'score': 0.0800907090306282}]]",50
customer,schema_description,5,"Index([38, 39, 40, 41, 48], dtype='int64')","[34, 35, 47, 41, 9]","precision: 0.2
recall: 0.2","[[{'corpus_id': 34, 'score': 0.09804986417293549}, {'corpus_id': 35, 'score': 0.07222920656204224}, {'corpus_id': 47, 'score': 0.06757242232561111}, {'corpus_id': 41, 'score': 0.0617951899766922}, {'corpus_id': 9, 'score': 0.05275721848011017}]]",50
businesses,schema_description,5,"Index([42, 43, 44, 45, 49], dtype='int64')","[43, 44, 42, 45, 49]","precision: 1.0
recall: 1.0","[[{'corpus_id': 43, 'score': 0.18106834590435028}, {'corpus_id': 44, 'score': 0.1648978292942047}, {'corpus_id': 42, 'score': 0.16199955344200134}, {'corpus_id': 45, 'score': 0.14110378921031952}, {'corpus_id': 49, 'score': 0.12888705730438232}]]",50
drivers,contextualized,5,"Index([0, 1, 2, 3, 22], dtype='int64')","[2, 3, 22, 7, 1]","precision: 0.8
recall: 0.8","[[{'corpus_id': 2, 'score': 0.18186064064502716}, {'corpus_id': 3, 'score': 0.1597306877374649}, {'corpus_id': 22, 'score': 0.12671500444412231}, {'corpus_id': 7, 'score': 0.12592282891273499}, {'corpus_id': 1, 'score': 0.12095309793949127}]]",50
circuits,contextualized,5,"Index([4, 5, 6, 7, 8], dtype='int64')","[4, 5, 6, 7, 9]","precision: 0.8
recall: 0.8","[[{'corpus_id': 4, 'score': 0.13386477530002594}, {'corpus_id': 5, 'score': 0.12991470098495483}, {'corpus_id': 6, 'score': 0.12645238637924194}, {'corpus_id': 7, 'score': 0.09951047599315643}, {'corpus_id': 9, 'score': 0.08846861869096756}]]",50
constructors,contextualized,5,"Index([9, 10, 11, 12, 13], dtype='int64')","[9, 11, 12, 13, 10]","precision: 1.0
recall: 1.0","[[{'corpus_id': 9, 'score': 0.2650717496871948}, {'corpus_id': 11, 'score': 0.25036826729774475}, {'corpus_id': 12, 'score': 0.23524832725524902}, {'corpus_id': 13, 'score': 0.20817814767360687}, {'corpus_id': 10, 'score': 0.2053695023059845}]]",50
user_reviews,contextualized,5,"Index([14, 15, 16, 17, 18], dtype='int64')","[14, 18, 16, 17, 15]","precision: 1.0
recall: 1.0","[[{'corpus_id': 14, 'score': 0.13542205095291138}, {'corpus_id': 18, 'score': 0.13388265669345856}, {'corpus_id': 16, 'score': 0.09938087314367294}, {'corpus_id': 17, 'score': 0.09805338829755783}, {'corpus_id': 15, 'score': 0.09401357173919678}]]",50
customers,contextualized,5,"Index([19, 20, 21, 23, 24], dtype='int64')","[34, 49, 26, 43, 35]","precision: 0.0
recall: 0.0","[[{'corpus_id': 34, 'score': 0.059151068329811096}, {'corpus_id': 49, 'score': 0.05540969595313072}, {'corpus_id': 26, 'score': 0.05516394227743149}, {'corpus_id': 43, 'score': 0.05439852178096771}, {'corpus_id': 35, 'score': 0.05183619260787964}]]",50
rootbeerbrand,contextualized,5,"Index([25, 26, 27, 28, 29], dtype='int64')","[28, 29, 26, 25, 24]","precision: 0.8
recall: 0.8","[[{'corpus_id': 28, 'score': 0.2801920771598816}, {'corpus_id': 29, 'score': 0.27618202567100525}, {'corpus_id': 26, 'score': 0.2602579593658447}, {'corpus_id': 25, 'score': 0.2185707986354828}, {'corpus_id': 24, 'score': 0.19085700809955597}]]",50
publisher,contextualized,5,"Index([30, 31, 32, 33, 46], dtype='int64')","[34, 41, 35, 36, 47]","precision: 0.0
recall: 0.0","[[{'corpus_id': 34, 'score': 0.15246659517288208}, {'corpus_id': 41, 'score': 0.12293495237827301}, {'corpus_id': 35, 'score': 0.11911093443632126}, {'corpus_id': 36, 'score': 0.10541336238384247}, {'corpus_id': 47, 'score': 0.10255184024572372}]]",50
author,contextualized,5,"Index([34, 35, 36, 37, 47], dtype='int64')","[34, 35, 41, 47, 46]","precision: 0.6
recall: 0.6","[[{'corpus_id': 34, 'score': 0.12024074792861938}, {'corpus_id': 35, 'score': 0.08705002814531326}, {'corpus_id': 41, 'score': 0.07606904953718185}, {'corpus_id': 47, 'score': 0.06539205461740494}, {'corpus_id': 46, 'score': 0.056948915123939514}]]",50
customer,contextualized,5,"Index([38, 39, 40, 41, 48], dtype='int64')","[34, 41, 35, 3, 47]","precision: 0.2
recall: 0.2","[[{'corpus_id': 34, 'score': 0.07499971240758896}, {'corpus_id': 41, 'score': 0.059747397899627686}, {'corpus_id': 35, 'score': 0.054825812578201294}, {'corpus_id': 3, 'score': 0.035261351615190506}, {'corpus_id': 47, 'score': 0.03514005243778229}]]",50
businesses,contextualized,5,"Index([42, 43, 44, 45, 49], dtype='int64')","[42, 43, 49, 44, 45]","precision: 1.0
recall: 1.0","[[{'corpus_id': 42, 'score': 0.15965281426906586}, {'corpus_id': 43, 'score': 0.15857262909412384}, {'corpus_id': 49, 'score': 0.1441551297903061}, {'corpus_id': 44, 'score': 0.13453829288482666}, {'corpus_id': 45, 'score': 0.12489388138055801}]]",50
